temperature,humidity,methane,Smoke
58,5,66,1
62,2,54,1
46,29,8,0
20,67,7,0
88,4,61,1
81,5,67,1
52,5,65,1
61,2,41,1
41,10,13,0
84,5,51,1
59,3,68,1
31,14,10,0
86,3,47,1
45,12,13,0
100,5,69,1
25,67,5,0
84,5,57,1
91,2,64,1
69,3,52,1
72,2,61,1
47,12,9,0
63,3,57,1
52,3,55,1
100,5,59,1
41,15,13,0
99,3,40,1
63,5,69,1
89,3,43,1
62,5,70,1
89,4,58,1
63,4,51,1
80,2,68,1
81,3,65,1
56,5,56,1
90,2,45,1
73,4,44,1
25,52,2,0
53,2,62,1
79,5,61,1
85,5,58,1
63,3,70,1
97,4,41,1
76,2,48,1
32,13,12,0
89,4,54,1
53,4,65,1
51,3,68,1
58,3,67,1
47,19,7,0
31,10,11,0
52,4,57,1
62,5,53,1
60,5,40,1
92,3,67,1
85,5,50,1
83,4,51,1
99,5,52,1
40,24,13,0
34,18,13,0
97,2,42,1
44,12,12,0
85,4,42,1
69,5,66,1
96,2,55,1
24,77,3,0
79,4,69,1
43,14,15,0
51,5,63,1
54,4,52,1
47,19,8,0
37,19,13,0
22,53,1,0
99,4,68,1
62,2,63,1
92,4,66,1
25,64,1,0
99,2,61,1
98,5,65,1
24,69,7,0
74,5,61,1
37,32,12,0
67,3,52,1
77,2,53,1
80,4,69,1
47,33,10,0
50,30,13,0
81,4,70,1
89,4,62,1
79,4,53,1
48,24,13,0
95,2,54,1
94,5,47,1
34,21,9,0
27,51,1,0
59,2,69,1
50,28,11,0
21,74,7,0
73,5,53,1
34,31,15,0
30,66,6,0
29,61,1,0
59,2,48,1
44,25,9,0
97,3,67,1
27,61,5,0
46,17,11,0
20,83,1,0
34,26,14,0
39,10,11,0
36,14,12,0
91,4,50,1
50,32,8,0
35,26,12,0
25,69,6,0
91,2,63,1
73,2,61,1
73,5,66,1
82,2,49,1
87,4,45,1
32,19,11,0
45,23,7,0
72,2,46,1
81,4,51,1
36,18,14,0
34,25,12,0
53,2,52,1
22,77,6,0
92,5,53,1
81,3,55,1
72,4,52,1
65,2,57,1
40,32,14,0
92,3,64,1
81,2,67,1
72,3,41,1
51,4,69,1
52,3,44,1
54,2,51,1
23,75,7,0
31,21,12,0
93,2,53,1
87,3,41,1
46,24,15,0
72,2,61,1
87,3,51,1
73,5,55,1
27,62,6,0
60,2,50,1
20,56,7,0
43,10,14,0
25,80,1,0
47,30,9,0
54,2,44,1
38,29,9,0
45,29,10,0
41,34,9,0
51,2,45,1
51,2,49,1
54,5,51,1
75,4,56,1
67,5,62,1
88,5,54,1
69,4,69,1
32,21,7,0
30,63,4,0
53,4,48,1
40,16,12,0
87,2,62,1
68,2,43,1
64,5,67,1
92,3,53,1
31,26,7,0
67,3,45,1
71,2,61,1
21,69,5,0
24,79,5,0
88,4,64,1
83,3,59,1
35,27,10,0
71,4,66,1
64,5,60,1
45,27,8,0
88,3,41,1
30,56,3,0
44,26,13,0
36,29,8,0
96,4,50,1
53,5,59,1
34,11,8,0
90,5,60,1
75,4,65,1
58,3,57,1
42,25,8,0
99,3,47,1
83,5,51,1
54,3,49,1
90,3,54,1
52,4,64,1
73,2,56,1
90,4,60,1
21,53,3,0
34,10,10,0
29,84,4,0
54,5,50,1
90,2,67,1
48,28,9,0
56,4,68,1
55,2,62,1
98,2,54,1
69,2,55,1
24,69,6,0
63,5,54,1
69,4,65,1
36,34,9,0
67,5,56,1
91,3,70,1
45,14,14,0
55,4,41,1
27,54,3,0
26,81,2,0
41,18,10,0
61,4,59,1
53,4,50,1
29,59,7,0
75,3,61,1
47,26,8,0
100,4,61,1
50,18,13,0
37,30,8,0
57,2,46,1
24,60,3,0
80,4,66,1
69,2,57,1
33,18,14,0
93,2,61,1
58,2,44,1
67,5,64,1
33,26,13,0
73,4,43,1
37,23,13,0
94,3,64,1
95,2,68,1
20,53,6,0
20,64,0,0
79,5,64,1
95,2,59,1
28,70,6,0
73,2,63,1
33,11,11,0
98,2,54,1
87,4,43,1
95,5,63,1
39,18,12,0
39,35,13,0
71,3,47,1
91,3,43,1
87,2,54,1
83,4,57,1
90,4,44,1
39,17,10,0
40,21,12,0
91,2,65,1
38,13,13,0
82,2,49,1
87,4,56,1
69,5,42,1
64,4,66,1
27,83,0,0
69,3,45,1
99,5,60,1
80,3,47,1
22,72,0,0
71,5,56,1
52,4,61,1
78,3,69,1
66,3,67,1
50,33,13,0
52,2,41,1
54,4,40,1
26,66,0,0
59,5,58,1
79,2,68,1
68,5,50,1
80,5,44,1
92,5,68,1
61,4,56,1
29,66,6,0
48,20,11,0
94,3,64,1
55,3,45,1
87,3,52,1
68,4,48,1
83,3,67,1
76,4,48,1
94,4,54,1
88,2,55,1
57,3,60,1
85,4,61,1
40,17,11,0
42,17,14,0
82,2,46,1
50,31,8,0
47,10,8,0
58,4,55,1
52,4,43,1
56,2,65,1
40,16,14,0
35,26,9,0
29,69,6,0
46,14,12,0
78,3,56,1
32,26,7,0
24,66,5,0
50,31,8,0
50,10,15,0
63,5,47,1
